,X,Y,t_datetime_x,t_days,u,p_acum_30d,p_acum_60d,p_acum_90d
1397,4708157.055433798,2253584.723636804,2022-06-23,120.0,-0.020054787,229.7443072795868,461.2863737344742,703.6787205934525
1398,4708197.078864368,2253584.570469349,2022-06-23,120.0,-0.010432537,229.7443072795868,461.2863737344742,703.6787205934525
1399,4708237.102286161,2253584.417301973,2022-06-23,120.0,-0.018013652,229.7443072795868,461.2863737344742,703.6787205934525
1400,4708277.125699175,2253584.264134675,2022-06-23,120.0,-0.02040609,229.7443072795868,461.2863737344742,703.6787205934525
1401,4708317.149103413,2253584.110967456,2022-06-23,120.0,-0.01003759,229.7443072795868,461.2863737344742,703.6787205934525
1402,4708357.172498873,2253583.957800316,2022-06-23,120.0,-0.013838944,229.7443072795868,461.2863737344742,703.6787205934525
1403,4708397.195885557,2253583.8046332537,2022-06-23,120.0,-0.0131631,229.7443072795868,461.2863737344742,703.6787205934525
1404,4708437.219263462,2253583.6514662704,2022-06-23,120.0,-0.01412059,229.7443072795868,461.2863737344742,703.6787205934525
1405,4708477.24263259,2253583.498299366,2022-06-23,120.0,-0.021101093,229.7443072795868,461.2863737344742,703.6787205934525
1406,4708517.265992942,2253583.3451325395,2022-06-23,120.0,-0.016171599,229.7443072795868,461.2863737344742,703.6787205934525
1407,4708557.289344515,2253583.1919657923,2022-06-23,120.0,-0.016137972,229.7443072795868,461.2863737344742,703.6787205934525
1408,4708597.31268731,2253583.0387991234,2022-06-23,120.0,-0.01400495,229.7443072795868,461.2863737344742,703.6787205934525
1409,4708116.878831266,2253544.8533605635,2022-06-23,120.0,-0.01704404,229.7443072795868,461.2863737344742,703.6787205934525
1410,4708156.902270693,2253544.7002018075,2022-06-23,120.0,-0.014000949,229.7443072795868,461.2863737344742,703.6787205934525
1411,4708196.925701342,2253544.54704313,2022-06-23,120.0,-0.016190592,229.7443072795868,461.2863737344742,703.6787205934525
1412,4708236.949123213,2253544.393884531,2022-06-23,120.0,-0.013673121,229.7443072795868,461.2863737344742,703.6787205934525
1413,4708276.972536306,2253544.240726011,2022-06-23,120.0,-0.010114663,229.7443072795868,461.2863737344742,703.6787205934525
1414,4708316.995940622,2253544.087567569,2022-06-23,120.0,-0.013796574,229.7443072795868,461.2863737344742,703.6787205934525
1415,4708357.019336161,2253543.934409206,2022-06-23,120.0,-0.014450531,229.7443072795868,461.2863737344742,703.6787205934525
1416,4708397.042722923,2253543.781250921,2022-06-23,120.0,-0.0141414,229.7443072795868,461.2863737344742,703.6787205934525
1417,4708437.066100907,2253543.6280927155,2022-06-23,120.0,-0.012191272,229.7443072795868,461.2863737344742,703.6787205934525
1418,4708477.089470114,2253543.4749345887,2022-06-23,120.0,-0.016571516,229.7443072795868,461.2863737344742,703.6787205934525
1419,4708517.112830544,2253543.32177654,2022-06-23,120.0,-0.015256648,229.7443072795868,461.2863737344742,703.6787205934525
1420,4708557.136182195,2253543.1686185696,2022-06-23,120.0,-0.01679997,229.7443072795868,461.2863737344742,703.6787205934525
1421,4708116.72567686,2253504.829916711,2022-06-23,120.0,-0.014638444,229.7443072795868,461.2863737344742,703.6787205934525
1422,4708156.749116363,2253504.676766732,2022-06-23,120.0,-0.020809254,229.7443072795868,461.2863737344742,703.6787205934525
1423,4708196.772547092,2253504.523616832,2022-06-23,120.0,-0.01002576,229.7443072795868,461.2863737344742,703.6787205934525
